title,date
Beat poet Lawrence Ferlinghetti dies at age 101,Feb 23 2021
Factbox: Seven quotes from poet Lawrence Ferlinghetti,Feb 23 2021
BNSF fuel train cars on fire after colliding with truck in Texas,Feb 23 2021
Prosecutors say re-examining Ohio store robberies linked to killing of Da’Shawn Tye,Feb 23 2021
Wife of Mexican drug kingpin 'El Chapo' held in jail on U.S. charges of helping him run cartel,Feb 23 2021
U.S. Justice Department revives probe into George Floyd's death: NY Times,Feb 23 2021
U.S. Treasury No. 2 nominee Adeyemo urges get-tough attitude on China,Feb 23 2021
Colorado city to establish independent police monitor in wake of Elijah McClain's death,Feb 23 2021
Historic U.S. Interior pick tests Senate support for Biden on climate,Feb 23 2021
American poet and writer Lawrence Ferlinghetti has died at age 101: NY Times,Feb 23 2021
White House says appointing members to U.S. Postal Service board of governors is a priority,Feb 23 2021
Biden to travel to winter storm-battered Texas on Friday,Feb 23 2021
U.N. rights boss welcomes Biden stance against death penalty,Feb 23 2021
Former U.S. House sergeant-at-arms denies 'optics' dictated security at Capitol Jan. 6,Feb 23 2021
Fauci says he sees U.S. CDC relaxing some COVID-19 guidelines soon: CNN,Feb 23 2021
Texas freeze raises concerns about 'ridiculous' variable rate bills,Feb 23 2021
Saudi Arabia sued by families of victims of 2019 Florida base attack,Feb 23 2021
"Biden leads Americans in moment of silence to mourn 500,000 U.S. COVID-19 deaths",Feb 23 2021
"Bells toll for lives lost as U.S. reaches 500,000 COVID deaths",Feb 23 2021
"Pfizer to ship 13 million COVID-19 vaccine doses per week to U.S. by mid-March, says executive",Feb 23 2021
"Factbox: Milestones mark unprecedented distress en route to 500,000 U.S. pandemic deaths",Feb 23 2021
"Factbox: 500,000 COVID-19 deaths the latest of several U.S. public health crises over the years",Feb 23 2021
U.S. COVID-19 deaths fall for third week as cases see steep drop,Feb 23 2021
U.S. Supreme Court sets the stage for release of Trump tax returns,Feb 22 2021
Over 7.9 million Texans still facing disrupted water supplies,Feb 22 2021
San Francisco backpedals on controversial plan to rename schools,Feb 22 2021
Mother whose 11-year-old son died in Texas freeze sues for $100 million,Feb 22 2021
Over 7.9 million Texans still facing disrupted water supplies,Feb 22 2021
Oath Keeper withdraws claim she met with Secret Service before U.S. Capitol attack,Feb 22 2021
Biden administration asks U.S. Supreme Court to dump Medicaid work case,Feb 22 2021
"Fauci says U.S. political divisions contributed to 500,000 dead from COVID-19",Feb 22 2021
Delta flight makes emergency landing in Salt Lake City after engine issue,Feb 22 2021
"New York City theaters to reopen at 25% capacity with precautions, Cuomo says",Feb 22 2021
Capitol riot suspect blames 'right-wing media' and Trump for her actions,Feb 22 2021
U.S. energy regulator to examine climate change's threat to power reliability,Feb 22 2021
"Colorado police had no basis to stop Elijah McClain, probe finds",Feb 22 2021
New Jersey governor signs legislation legalizing recreational cannabis,Feb 22 2021
U.S. mourns half a million lives lost to coronavirus,Feb 22 2021
"'I just ask God to help me': Texas funeral home crushed by death as U.S. COVID toll tops 500,000",Feb 22 2021
"Biden to revise small business PPP loans to reach smaller, minority firms",Feb 22 2021
Stormy Daniels' bid to revive Trump suit falters at U.S. Supreme Court,Feb 22 2021
Family of Americans held in Iran urge Biden to make their release a priority,Feb 22 2021
Why a predictable cold snap crippled the Texas power grid,Feb 22 2021
"Garland concerned by disproportionate impact of death penalty on Blacks, communities of color",Feb 22 2021
U.S. Supreme Court revives Texas inmate's lawsuit over pepper spray incident,Feb 22 2021
U.S. Supreme Court formally pulls the plug on election-related cases,Feb 22 2021
Arctic drilling plan in Alaska hits roadblock,Feb 22 2021
U.S. Supreme Court to review a hardline Trump immigration rule,Feb 22 2021
U.S. Supreme Court to weigh Trump administration abortion referral restriction,Feb 22 2021
"Novavax completes enrolling 30,000 people in U.S. trial of COVID-19 vaccine",Feb 22 2021
'We were wiped out.' Merchants in historic Philadelphia market grapple with pandemic,Feb 22 2021
"Michigan, Maryland governors to testify on new U.S. infrastructure push",Feb 22 2021
Cost of flood damage to U.S. homes will increase by 61% in 30 years,Feb 22 2021
Oath Keeper claims she met with Secret Service before Capitol riot,Feb 22 2021
Biden's attorney general nominee Garland vows to prioritize civil rights,Feb 22 2021
Former Nazi camp guard arrives in Germany after removal from U.S.,Feb 22 2021
Exclusive: New York City tax agency subpoenaed in Trump criminal probe,Feb 22 2021
Texas utilities can't stick customers with huge bills after storm: Abbott,Feb 22 2021
"Texas to get one million COVID-19 vaccine doses in coming week, governor says",Feb 22 2021
"U.S. nears 500,000 COVID-19 deaths as Biden plans commemoration",Feb 21 2021
White House says U.S. communicating with Iran over detained Americans,Feb 21 2021
Texas freeze led to release of tons of air pollutants as refineries shut,Feb 21 2021
Trump seeks return to spotlight with address to conservative meeting,Feb 21 2021
"About 30,000 Texans still without power after winter storm",Feb 21 2021
U.S. administers 63.1 million doses of COVID-19 vaccines: CDC,Feb 21 2021
Any U.S.-Iran communication over detained U.S. citizens has been via Swiss - official,Feb 21 2021
"Malcolm X's family releases letter alleging FBI, police role in his death",Feb 21 2021
"Biden's first month was a 'honeymoon,' but bigger challenges loom ahead",Feb 21 2021
United Airlines Boeing 777 lands safely in Denver after engine failure,Feb 20 2021
Biden approves Texas disaster declaration after deadly freeze,Feb 20 2021
